date,policy_id,hypothesis_id,capacity,slot,code,name,uplift_score_pct,oc_return_pct,label
2024-07-24,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,6594,ニデック,1.315642221392585,0.02778549597111102,1.0
2024-07-24,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,9367,大東港運,0.7756133487976993,0.496277915632759,1.0
2024-07-25,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,7213,レシップホールディングス,0.4281564182604256,-2.2222222222222254,0.0
2024-07-25,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-26,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2024-07-26,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-29,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2024-07-29,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-30,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,8886,ウッドフレンズ,0.6093073981752396,,
2024-07-30,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-31,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,7513,コジマ,0.4351528612898077,0.4646840148698983,1.0
2024-07-31,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-01,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,9696,ウィザス,0.7703918976138047,-0.8181818181818179,0.0
2025-04-01,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-02,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-04-02,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-03,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-04-03,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-04,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,7089,フォースタートアップス,1.0140187541400025,-2.200000000000002,0.0
2025-04-04,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-07,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-04-07,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-08,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-04-08,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-09,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-04-09,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-10,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-04-10,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-11,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,2999,ホームポジション,0.4472793574049211,0.0,0.0
2025-04-11,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-14,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,9778,昴,0.6290804510153226,0.0,0.0
2025-04-14,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,7450,サンデー,0.42535117639902253,0.8204193254329972,1.0
2025-04-22,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-04-22,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-23,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-04-23,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-24,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,1878,大東建託,0.6515249031608791,-0.19243104554201862,0.0
2025-04-24,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-25,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-04-25,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-04-30,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,5332,ＴＯＴＯ,0.6132498459217177,3.23809523809524,1.0
2025-04-30,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,8281,ゼビオホールディングス,0.4651273406693973,0.9273570324574987,1.0
2025-05-01,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,9206,スターフライヤー,0.6238610346801349,1.9991840065279431,1.0
2025-05-01,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-05-08,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,4551,鳥居薬品,0.5305305655066411,-0.15748031496063408,0.0
2025-05-08,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,9878,セキド,0.5158817050243869,-1.86513629842181,0.0
2025-05-09,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-05-09,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-05-12,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,7846,パイロットコーポレーション,1.1122376513960857,-0.975847767748228,0.0
2025-05-12,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,6877,ＯＢＡＲＡ ＧＲＯＵＰ,0.8951278687531716,6.392045454545459,1.0
2025-05-13,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,5976,高周波熱錬,0.7718983922962355,0.0,0.0
2025-05-13,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,9006,京浜急行電鉄,0.5305607310474865,-0.8191349934469239,0.0
2025-05-14,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,6822,大井電気,0.4407129734840069,-2.271880819366856,0.0
2025-05-14,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,1925,大和ハウス⼯業,0.4233783199472661,1.1649294911097563,1.0
2025-05-15,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,7313,テイ・エス テック,1.1575793559419358,-0.4878048780487809,0.0
2025-05-15,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,8746,ＵＮＢＡＮＫＥＤ,0.8698761722054444,-2.166064981949456,0.0
2025-05-16,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,9780,ハリマビステム,0.49760026734964785,-1.4084507042253502,0.0
2025-05-16,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,7047,ポート,0.4562395973117699,3.290676416819016,1.0
2025-05-19,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,8803,平和不動産,0.4115294433805012,0.8888888888888946,1.0
2025-05-19,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-05-20,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-05-20,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-05-21,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-05-21,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-05-27,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-05-27,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-05-28,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,5939,大⾕⼯業,0.6140184988626606,2.0408163265306145,1.0
2025-05-28,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-05-29,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-05-29,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-05-30,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,7202,いすゞ自動車,1.0539382329071956,2.243673362901122,1.0
2025-05-30,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,7163,住信ＳＢＩネット銀行,0.781561460567655,0.0,0.0
2025-06-02,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,6973,協栄産業,1.646083026291138,0.0,0.0
2025-06-02,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,7984,コクヨ,0.6549153337962829,1.441383728379253,1.0
2025-06-03,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-06-03,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-06-04,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,6201,豊⽥自動織機,0.6681283030307603,1.2812499999999893,1.0
2025-06-04,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,6135,牧野フライス製作所,0.5803907165993403,0.25839793281654533,1.0
2025-06-05,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-06-05,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-06-06,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2025-06-06,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-06-09,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,7605,フジ・コーポレーション,0.7127670442724856,0.0,0.0
2025-06-09,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2025-06-10,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,9444,トーシンホールディングス,0.7914575557495556,0.32102728731941976,1.0
2025-06-10,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,9696,ウィザス,0.7422821292572256,-0.15503875968991832,0.0
