date,model_rank,code,name,model_score,oc_return_pct,tail_condition_count,tail_flag__range_expansion,tail_flag__close_volatility_expansion,tail_flag__deep_60d_relative_loser,tail_flag__frequent_flat_session,tail_flag__large_positive_overnight,session_range_ratio_5_20,cc_vol_ratio_5_20,xrank_close_momentum_60,flat_oc_rate_20,overnight_last,display_source
2025-05-15,2,4069,ＢｌｕｅＭｅｍｅ,0.5562169262854887,2.57548845470692,3,True,True,False,True,False,1.7600768,1.9572484,-0.5186722,0.2,-4.597701149425292,v07_g0_replay
2025-05-16,1,3513,イチカワ,0.5618953189488893,0.1818181818181719,3,True,True,True,False,False,1.7359401,1.9963058,-0.63301665,0.0,0.3775620280474623,v07_g0_replay
2025-05-16,2,6039,日本動物高度医療センター,0.5609100954889169,-0.4498977505112522,2,True,True,False,False,False,1.6018054,1.714289,0.32897863,0.0,0.3750937734433579,v07_g0_replay
2025-05-19,1,4069,ＢｌｕｅＭｅｍｅ,0.5588536370315854,-0.6926406926406892,2,False,True,False,True,False,1.4522567,1.9600047,-0.16859259,0.2,0.0,v07_g0_replay
2025-05-19,2,4375,セーフィー,0.5579904217666479,-4.469987228607919,1,False,False,False,False,True,1.2795358,1.4443254,0.1608889,0.05,1.7321016166281789,v07_g0_replay
2025-05-20,1,4069,ＢｌｕｅＭｅｍｅ,0.5569571356703218,-4.7951176983435095,4,False,True,True,True,True,1.4142247,1.8980014,-0.6476162,0.15,1.9417475728155331,v07_g0_replay
2025-05-20,2,7815,東京ボード⼯業,0.5545394020972941,0.1692047377326533,1,False,False,False,False,True,1.2210932,1.5597866,-0.053005625,0.05,1.724137931034475,v07_g0_replay
2025-05-21,1,3034,クオールホールディングス,0.5609041213015287,-1.5094339622641506,0,False,False,False,False,False,0.6968054,0.28285542,0.8173759,0.05,1.1621764395139955,v07_g0_replay
2025-05-21,2,7815,東京ボード⼯業,0.5592334402064236,-3.378378378378377,0,False,False,False,False,False,1.2781689,1.546841,-0.18085106,0.0,-1.3355592654423987,v07_g0_replay
2025-05-22,1,7815,東京ボード⼯業,0.5675802754005427,-4.720279720279718,0,False,False,False,False,False,0.8119521,1.2017347,-0.37785694,0.0,0.0,v07_g0_replay
2025-05-22,2,3034,クオールホールディングス,0.5608103303028261,0.7700770077007757,0,False,False,False,False,False,0.7131897,0.3278238,0.8029089,0.05,-0.16146393972013007,v07_g0_replay
2025-05-23,1,324A,ブッキングリゾート,0.5776045055911334,-3.790849673202612,,True,False,,False,False,1.6496971,1.4191035,,0.0,1.1074918566775338,v07_g0_replay
2025-05-23,2,7815,東京ボード⼯業,0.5741310235632308,4.553734061930781,0,False,False,False,False,False,0.7993729,1.0558537,-0.5618878,0.0,0.0,v07_g0_replay
2025-05-26,1,3034,クオールホールディングス,0.5600137656367081,-0.5497526113249052,0,False,False,False,False,False,0.6210168,0.27620488,0.7795603,0.05,-0.6004366812227047,v07_g0_replay
2025-05-26,2,9158,シーユーシー,0.5568231665935236,0.9183673469387754,1,False,False,True,False,False,0.8810128,0.20916826,-0.9946524,0.0,0.09803921568627416,v07_g0_replay
2025-05-27,1,3034,クオールホールディングス,0.5623985895841864,1.1538461538461495,0,False,False,False,False,False,0.6034171,0.24468818,0.7376076,0.05,0.6084070796460228,v07_g0_replay
2025-05-27,2,7815,東京ボード⼯業,0.5589252891482557,-1.2411347517730542,1,False,False,True,False,False,0.9990064,1.2015785,-0.640843,0.0,0.0,v07_g0_replay
2025-05-28,1,7815,東京ボード⼯業,0.5549183387525763,,1,False,False,True,False,False,0.92185026,1.1998045,-0.71836007,0.0,-0.1769911504424737,v07_g0_replay
2025-05-28,2,3948,光ビジネスフォーム,0.5465964690329599,-0.3968253968253954,0,False,False,False,False,False,0.55236775,0.37174836,0.9096851,0.05,0.29850746268655914,v07_g0_replay
2025-05-29,1,7345,アイ・パートナーズフィナンシャル,0.5571907908490329,1.4814814814814836,1,False,False,True,False,False,1.1232413,1.3316311,-0.6521481,0.0,-0.17605633802817433,v07_g0_replay
2025-05-29,2,3948,光ビジネスフォーム,0.546346015906666,2.020202020202011,0,False,False,False,False,False,0.5955908,0.34157625,0.9194074,0.05,0.3984063745019917,v07_g0_replay
2025-05-30,1,2726,パルグループホールディングス,0.5423824269260339,-0.1406469760900086,0,False,False,False,False,False,1.012073,1.0280116,0.63916916,0.0,-1.7591339648173165,v07_g0_replay
2025-05-30,2,9236,ジャパンＭ＆Ａソリューション,0.5420160048940444,-3.611111111111109,0,False,False,False,False,False,0.67177004,0.8368734,0.4967359,0.0,0.0,v07_g0_replay
2025-06-02,1,7030,スプリックス,0.5473180399888757,2.1739130434782705,0,False,False,False,False,False,0.64881194,0.6365464,0.7793637,0.05,0.09082652134422275,v07_g0_replay
2025-06-02,2,7345,アイ・パートナーズフィナンシャル,0.5465971712201718,0.1834862385321045,1,False,False,True,False,False,1.154961,1.380567,-0.7579542,0.0,0.0,v07_g0_replay
2025-06-03,1,3271,ＴＨＥグローバル社,0.5556636766634391,-0.6295907660020972,0,False,False,False,False,False,0.808185,0.64461035,0.90104324,0.0,-0.4048582995951455,v07_g0_replay
2025-06-03,2,9424,日本通信,0.5442367889778676,-3.910614525139666,2,False,False,False,True,True,1.0002254,1.1105021,0.8092399,0.15,18.404907975460127,v07_g0_replay
2025-06-04,1,3271,ＴＨＥグローバル社,0.5531035940110363,0.3184713375796288,0,False,False,False,False,False,0.83435446,0.5614704,0.90575606,0.0,-0.3138075313807498,v07_g0_replay
