candidate_id,date,model_rank,code,name,label,oc_return_pct,ensemble_score
O03_follow_leader_hl20,2024-08-07,1,4814,ネクストウェア,1.0,4.838709677419351,
O03_follow_leader_hl20,2024-08-07,2,7043,アルー,1.0,2.836004932182501,
C00_daily_rank_ridge,2024-08-07,1,4814,ネクストウェア,1.0,4.838709677419351,
C00_daily_rank_ridge,2024-08-07,2,7043,アルー,1.0,2.836004932182501,
O01_softmax_ewma_vote_hl20,2024-08-08,1,7043,アルー,1.0,0.3597122302158251,0.6015123897331147
O01_softmax_ewma_vote_hl20,2024-08-08,2,1997,暁飯島⼯業,1.0,3.0056355666875367,0.29515870181166937
O02_equal_vote_control,2024-08-08,1,7043,アルー,1.0,0.3597122302158251,0.3571428571428571
O02_equal_vote_control,2024-08-08,2,4762,エックスネット,1.0,4.502541757443712,0.24999999999999997
O03_follow_leader_hl20,2024-08-08,1,7043,アルー,1.0,0.3597122302158251,
O03_follow_leader_hl20,2024-08-08,2,1997,暁飯島⼯業,1.0,3.0056355666875367,
C00_daily_rank_ridge,2024-08-08,1,7043,アルー,1.0,0.3597122302158251,
C00_daily_rank_ridge,2024-08-08,2,1997,暁飯島⼯業,1.0,3.0056355666875367,
O01_softmax_ewma_vote_hl20,2024-08-09,1,7043,アルー,0.0,0.0,0.6421445672237616
O01_softmax_ewma_vote_hl20,2024-08-09,2,8139,ナガホリ,0.0,-3.1884057971014457,0.16888021883895316
O02_equal_vote_control,2024-08-09,1,7043,アルー,0.0,0.0,0.3928571428571428
O02_equal_vote_control,2024-08-09,2,6322,タクミナ,1.0,3.511450381679393,0.17857142857142855
O03_follow_leader_hl20,2024-08-09,1,7043,アルー,0.0,0.0,
O03_follow_leader_hl20,2024-08-09,2,8139,ナガホリ,0.0,-3.1884057971014457,
C00_daily_rank_ridge,2024-08-09,1,7043,アルー,0.0,0.0,
C00_daily_rank_ridge,2024-08-09,2,8139,ナガホリ,0.0,-3.1884057971014457,
O01_softmax_ewma_vote_hl20,2024-08-13,1,7043,アルー,0.0,-1.849568434032056,0.679150990811594
O01_softmax_ewma_vote_hl20,2024-08-13,2,8139,ナガホリ,1.0,0.5098324836125379,0.4493462060371499
O02_equal_vote_control,2024-08-13,1,8139,ナガホリ,1.0,0.5098324836125379,0.4642857142857142
O02_equal_vote_control,2024-08-13,2,7043,アルー,0.0,-1.849568434032056,0.4285714285714285
O03_follow_leader_hl20,2024-08-13,1,7043,アルー,0.0,-1.849568434032056,
O03_follow_leader_hl20,2024-08-13,2,8139,ナガホリ,1.0,0.5098324836125379,
C00_daily_rank_ridge,2024-08-13,1,7043,アルー,0.0,-1.849568434032056,
C00_daily_rank_ridge,2024-08-13,2,8139,ナガホリ,1.0,0.5098324836125379,
O01_softmax_ewma_vote_hl20,2024-08-14,1,7043,アルー,1.0,3.409090909090917,0.8031099199842354
O01_softmax_ewma_vote_hl20,2024-08-14,2,8139,ナガホリ,0.0,0.0,0.24647183902014544
O02_equal_vote_control,2024-08-14,1,7043,アルー,1.0,3.409090909090917,0.7499999999999998
O02_equal_vote_control,2024-08-14,2,3800,ユニリタ,0.0,-0.0521648408972397,0.14285714285714285
O03_follow_leader_hl20,2024-08-14,1,7043,アルー,1.0,3.409090909090917,
O03_follow_leader_hl20,2024-08-14,2,8139,ナガホリ,0.0,0.0,
C00_daily_rank_ridge,2024-08-14,1,7043,アルー,1.0,3.409090909090917,
C00_daily_rank_ridge,2024-08-14,2,8139,ナガホリ,0.0,0.0,
O01_softmax_ewma_vote_hl20,2024-08-15,1,8139,ナガホリ,0.0,-1.1594202898550732,0.5833460047933242
O01_softmax_ewma_vote_hl20,2024-08-15,2,7043,アルー,0.0,-2.554744525547448,0.280379914703849
O02_equal_vote_control,2024-08-15,1,8139,ナガホリ,0.0,-1.1594202898550732,0.3571428571428571
O02_equal_vote_control,2024-08-15,2,7036,イーエムネットジャパン,0.0,-2.682403433476399,0.2857142857142857
O03_follow_leader_hl20,2024-08-15,1,8139,ナガホリ,0.0,-1.1594202898550732,
O03_follow_leader_hl20,2024-08-15,2,7043,アルー,0.0,-2.554744525547448,
C00_daily_rank_ridge,2024-08-15,1,8139,ナガホリ,0.0,-1.1594202898550732,
C00_daily_rank_ridge,2024-08-15,2,7043,アルー,0.0,-2.554744525547448,
O01_softmax_ewma_vote_hl20,2024-08-16,1,7043,アルー,0.0,-0.4987531172069848,0.750904411234304
O01_softmax_ewma_vote_hl20,2024-08-16,2,8139,ナガホリ,1.0,0.8046817849304944,0.4329840602199295
O02_equal_vote_control,2024-08-16,1,7043,アルー,0.0,-0.4987531172069848,0.6785714285714284
O02_equal_vote_control,2024-08-16,2,8139,ナガホリ,1.0,0.8046817849304944,0.4285714285714285
O03_follow_leader_hl20,2024-08-16,1,7043,アルー,0.0,-0.4987531172069848,
O03_follow_leader_hl20,2024-08-16,2,8139,ナガホリ,1.0,0.8046817849304944,
C00_daily_rank_ridge,2024-08-16,1,7043,アルー,0.0,-0.4987531172069848,
C00_daily_rank_ridge,2024-08-16,2,8139,ナガホリ,1.0,0.8046817849304944,
O01_softmax_ewma_vote_hl20,2024-08-19,1,7043,アルー,0.0,-0.5031446540880502,0.6117483421255451
O01_softmax_ewma_vote_hl20,2024-08-19,2,8139,ナガホリ,1.0,1.7492711370262315,0.48839099609440706
O02_equal_vote_control,2024-08-19,1,7043,アルー,0.0,-0.5031446540880502,0.5357142857142856
O02_equal_vote_control,2024-08-19,2,8139,ナガホリ,1.0,1.7492711370262315,0.4285714285714285
O03_follow_leader_hl20,2024-08-19,1,7043,アルー,0.0,-0.5031446540880502,
